source,target,value,naturalCourt,type
86,84,-5.968346,1301,CL
86,81,1.924596,1301,CL
86,80,2.110255,1301,CL
86,79,8.205331,1301,CL
86,78,-4.881377,1301,CL
86,85,18.818538,1301,CL
86,82,-19.676496,1301,CL
86,87,10.503194,1301,CL
84,86,-0.019275,1301,CL
84,81,-9.474524,1301,CL
84,80,23.182947,1301,CL
84,79,17.304778,1301,CL
84,78,-5.834360,1301,CL
84,85,-0.762508,1301,CL
84,82,-2.672105,1301,CL
84,87,4.804943,1301,CL
81,86,6.903841,1301,CL
81,84,-3.015526,1301,CL
81,80,-0.503080,1301,CL
81,79,5.215961,1301,CL
81,78,10.220453,1301,CL
81,85,-4.283090,1301,CL
81,82,14.517383,1301,CL
81,87,5.911021,1301,CL
80,86,5.789555,1301,CL
80,84,41.526540,1301,CL
80,81,-6.178521,1301,CL
80,79,-22.300064,1301,CL
80,78,-11.784694,1301,CL
80,85,-0.756534,1301,CL
80,82,14.408369,1301,CL
80,87,4.679212,1301,CL
79,86,9.216773,1301,CL
79,84,30.150068,1301,CL
79,81,1.992737,1301,CL
79,80,-19.668873,1301,CL
79,78,-5.899953,1301,CL
79,85,2.395881,1301,CL
79,82,2.925343,1301,CL
79,87,12.854252,1301,CL
78,86,-11.534597,1301,CL
78,84,-4.841190,1301,CL
78,81,19.705176,1301,CL
78,80,-13.022479,1301,CL
78,79,-9.386690,1301,CL
78,85,15.545382,1301,CL
78,82,-3.287892,1301,CL
78,87,18.633542,1301,CL
85,86,19.914135,1301,CL
85,84,0.736625,1301,CL
85,81,-11.255422,1301,CL
85,80,-2.370245,1301,CL
85,79,6.610533,1301,CL
85,78,18.032093,1301,CL
85,82,22.474753,1301,CL
85,87,-19.622776,1301,CL
82,86,-23.522229,1301,CL
82,84,-7.735336,1301,CL
82,81,32.794975,1301,CL
82,80,13.666531,1301,CL
82,79,-2.057247,1301,CL
82,78,-1.116730,1301,CL
82,85,22.637551,1301,CL
82,87,-12.101372,1301,CL
87,86,12.302432,1301,CL
87,84,4.903626,1301,CL
87,81,-0.761594,1301,CL
87,80,4.066125,1301,CL
87,79,15.903887,1301,CL
87,78,23.804961,1301,CL
87,85,-26.956945,1301,CL
87,82,-5.809068,1301,CL
